,Year,Algeria,Argentina,Australia,Bangladesh,Brazil,BRICS,Canada,Chile,China (People's Republic of),Colombia,Egypt,Ethiopia,European Union (28 countries),Ghana,Haiti,India,Indonesia,Iran,Israel,Japan,Kazakhstan,Korea,Malaysia,Mexico,Mozambique,New Zealand,Nigeria,OECD - Total,Pakistan,Paraguay,Peru,Philippines,Russia,Saudi Arabia,South Africa,Sub-Saharan Africa,Sudan,Tanzania,Thailand,Turkey,Ukraine,United States,Uruguay,Viet Nam,World,Zambia
48,2018,6.9294,1.2409,9.1514,1.2082,0.39299999999999996,1.7801,0.8191,0.5893,3.0412,0.3946,1.5104,1.4004,1.7696,1.8068,0.5876,0.644,0.4262,3.5739,1.9257,0.1703,7.9418,0.1407,1.0885,0.4743,0.8329,5.1916,2.2919,1.3158,2.1588,0.4908,1.3158,0.5283,1.2681,5.98,3.1318,2.0366,8.67,1.1066,0.0421,3.9199,0.4144,0.3323,3.2185,0.1521,1.7738,0.5934
49,2019,7.002999999999999,1.2463,8.9975,1.2411,0.3916,1.8192,0.8165,0.5934,3.1253,0.3979,1.5251,1.4109,1.7682,1.8161,0.5951,0.652,0.4288,3.6145,1.93,0.1766,8.0053,0.1402,1.1104,0.4698,0.8394,5.1514,2.2802,1.314,2.189,0.4903,1.3293,0.5313,1.2819,6.0407,3.1623,2.0305,8.6652,1.1269,0.0428,3.9509,0.423,0.3285,3.2372,0.1561,1.7953,0.5975
50,2020,7.0703,1.255,8.8344,1.2709,0.3905,1.8425,0.8170000000000001,0.5961,3.1763,0.4004,1.5348,1.4183,1.7786,1.8476,0.6046,0.6588,0.431,3.653,1.9352,0.1829,8.0633,0.1397,1.1327,0.4648,0.8446,5.1008,2.2677,1.3162,2.2128,0.4892,1.3391,0.5338,1.2954,6.1013,3.1829,2.0253,8.7072,1.1512,0.0434,3.9735,0.4299,0.3259,3.2512,0.1596,1.8102,0.5987
51,2021,7.1416,1.2622,8.6769,1.2984,0.3885,1.8697,0.809,0.5997,3.2368,0.4032,1.5461,1.4259,1.7888,1.8926,0.6151,0.6652,0.4336,3.6964,1.9423,0.18899999999999997,8.1238,0.1392,1.1553,0.4579,0.8505,5.0529,2.2556,1.318,2.2292,0.4883,1.3487,0.5355,1.3105,6.1622,3.207,2.0256,8.816,1.176,0.044000000000000004,4.0007,0.4358,0.3225,3.2741,0.1634,1.8275,0.5996
52,2022,7.2234,1.2693,8.5239,1.3233,0.3872,1.892,0.8045,0.603,3.2866,0.4065,1.5571,1.4319,1.8,1.9414,0.6258,0.6717,0.4363,3.7457,1.9501,0.1953,8.1912,0.1387,1.1784,0.4526,0.8568,5.0031,2.2441,1.321,2.2482,0.4877,1.359,0.5362,1.3262,6.2237,3.2324,2.026,8.9143,1.1968,0.0445,4.0334,0.4418,0.3196,3.2961,0.1669,1.8432,0.6008
53,2023,7.3017,1.2758,8.3857,1.3438,0.3858,1.9194,0.7961,0.606,3.35,0.4092,1.5661,1.4384,1.8008,1.9924,0.6364,0.6768,0.4384,3.7924,1.9580000000000002,0.2016,8.2566,0.1383,1.2019,0.4479,0.8625,4.9645,2.2304,1.3207,2.2782,0.4864,1.3674,0.5357,1.3421,6.2859,3.2575,2.0248,8.9995,1.2174,0.045,4.0666,0.4477,0.3179,3.3161,0.1702,1.8599,0.6027
54,2024,7.3754,1.2727,8.3201,1.3603,0.3832,1.9443,0.7988,0.6087,3.4097,0.4112,1.5728,1.444,1.8059,2.043,0.6471,0.6807,0.4396,3.8366,1.9662,0.2081,8.3197,0.1378,1.2259,0.4524,0.8673,4.9449,2.2132,1.3243,2.3089,0.4845,1.3735,0.5344,1.3578,6.3488,3.2794,2.0207,9.0658,1.239,0.0454,4.098,0.4534,0.3155,3.3339,0.1732,1.8751,0.6044
55,1970 Flags,..,..,0,..,0,..,0,..,0,..,..,..,..,..,..,..,..,..,..,0,..,0,..,0,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..
56,1971 Flags,..,..,0,..,0,..,0,..,0,..,..,..,..,..,..,..,..,..,..,0,..,0,..,0,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..
57,1972 Flags,..,..,0,..,0,..,0,..,0,..,..,..,..,..,..,..,..,..,..,0,..,0,..,0,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..
