Location,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Bahrain,,0.005955075,0.005776774,0.005616463,0.005471238,0.00533766,0.005214254,0.005096762,0.004976288,0.004843342,0.004692589,0.004528821,0.004355628,0.004169099,0.003966066,0.003749728,0.007046149,0.006595523,0.00618217,0.005833812,0.005557068,0.005345807,0.005182018,0.005044811,0.004911314,0.004768433,0.004613749,0.004454403,0.004298903,0.004156915,0.004032713,0.003924231,0.003825935,0.003733489,0.003641986,0.003547798,0.003449138,0.00334541,0.003235963,0.003120592,0.002999153,0.002878141,0.002757233,0.002232158,0.001856461,0.001730076,0.001541228,0.001363767,0.001075484,0.001136388,0.001078236,0.001041336,0.001199781,,,
"Bahamas, The",,0.060812454,0.057811584,0.054974829,0.052357196,0.049982506,0.047825968,0.045869456,0.044128123,0.04261796,0.04133305,0.040260659,0.039360338,0.038569831,0.037818009,0.037060175,0.036287292,0.035511724,0.034737558,0.033974315,0.0332289,0.032497075,0.031778459,0.031085552,0.030432666,0.034088391,0.033454326,0.032868923,0.03231331,0.031764309,0.031208795,0.030637607,0.030060158,0.029502333,0.021746773,0.021417022,0.021142245,0.020908255,0.020685803,0.020437916,0.023498528,0.023091793,0.022641265,0.022168946,0.021702802,0.021260892,0.020845679,0.020452347,0.02008107,0.022549185,0.024942494,0.024542487,0.021482969,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.197620693,0.205256151,0.212912198,0.219112938,0.236180241,0.238135935,0.251595779,0.251031276,0.263652034,0.265807171,0.261793371,0.266417766,0.268696914,0.267388258,0.267552151,0.266116865,0.262517159,0.259788854,0.261781606,0.262243921,0.262771656,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.595536413,0.596151968,0.608682898,0.611340004,0.613188976,0.610358802,0.614460224,0.616043847,0.612993503,0.580278002,0.569285352,0.568439318,0.570195272,0.57352789,0.576842982,0.577301255,0.578925273,0.583149258,0.583245522,0.58365882,0.583474218,,,
Belize,,0.380143821,0.369651603,0.369386818,0.358979334,0.348658607,0.347527071,0.337181341,0.327414032,0.327016602,0.319203791,0.320533368,0.314594016,0.317106749,0.312247727,0.31517098,0.310777313,0.313889234,0.309414846,0.304299827,0.312172652,0.311724923,0.303634371,0.295212425,0.28688678,0.2607388,0.259479861,0.281082569,0.279290602,0.283425083,0.277256441,0.28253465,0.288182955,0.303620677,0.297503942,0.299571902,0.294841675,0.288798238,0.277911668,0.267755539,0.258782429,0.254912957,0.266969741,0.260095418,0.253545104,0.24710621,0.240755836,0.234582092,0.228634886,0.232539619,0.233202429,0.227829875,0.231655416,,,
Bermuda,,0.021978022,0.021459227,0.020964361,0.020449898,0.01996008,0.019607843,0.019230769,0.018867925,0.018518519,0.018181818,0.018315018,0.018450185,0.018587361,0.018726592,0.018867925,0.018796992,0.018726592,0.018656716,0.018587361,0.018291568,0.018165304,0.01803459,0.017879492,0.017723269,0.01757531,0.017427068,0.017286384,0.017138842,0.016994952,0.016856016,0.016943122,0.017066303,0.016975047,0.016857721,0.016737522,0.01663091,0.016529745,0.016408775,0.016317206,0.016172594,0.015998976,0.015895219,0.015791552,0.015688735,0.015587493,0.015498349,0.01541117,0.011337,0.011274301,0.011362938,0.011461496,0.011420106,,,
Bolivia,,0.343708788,0.337667427,0.33321434,0.336018222,0.337788871,0.34050423,0.341741076,0.344120557,0.345977328,0.347110175,0.345824758,0.347800915,0.349691884,0.34902889,0.349752329,0.352941199,0.352524621,0.350820138,0.349233323,0.347611588,0.346663053,0.345833021,0.344129711,0.343932355,0.3300304,0.325029154,0.32019869,0.315496314,0.310870995,0.30629006,0.301750971,0.30147094,0.30245439,0.316760086,0.343610095,0.348560955,0.364890241,0.370533862,0.375181327,0.377000477,0.370746217,0.358243051,0.398845912,0.399097208,0.417077379,0.376049797,0.382249312,0.375003281,0.382731523,0.377687786,0.380622089,0.419581977,,,
Brazil,,0.296063731,0.311657757,0.327586075,0.330267949,0.332818016,0.335279546,0.337633741,0.35082715,0.352617801,0.364649985,0.376007853,0.376818181,0.377465185,0.387354211,0.387342088,0.387122111,0.386723205,0.377578195,0.376231412,0.368249613,0.364486885,0.367030488,0.358739365,0.351622294,0.345668187,0.350840416,0.347520894,0.343092245,0.337614255,0.336990098,0.340041005,0.333397673,0.331178409,0.329120384,0.356726249,0.350011468,0.344193698,0.338484581,0.333501458,0.328673814,0.331079475,0.339715534,0.352028191,0.361096676,0.360905052,0.353618888,0.3518519,0.360625916,0.358004755,0.354058255,0.358721657,0.358717548,,,
Barbados,,0.069062562,0.06879235,0.068496963,0.068216605,0.067977211,0.06778426,0.067618967,0.06745391,0.06725204,0.066988491,0.066656113,0.066268778,0.065849041,0.065429236,0.065031927,0.064661095,0.064312559,0.063991041,0.063700354,0.063442468,0.063221116,0.063032824,0.062864664,0.062697153,0.062517339,0.062320342,0.062109631,0.061889805,0.061667964,0.061450068,0.061236753,0.061025844,0.060815459,0.060602617,0.060386018,0.060163947,0.059937665,0.059712856,0.05577867,0.055588909,0.055414761,0.051569366,0.051421247,0.04760318,0.047443005,0.047265852,0.047075183,0.046878099,0.046684335,0.039346702,0.042765198,0.039065275,,,
Brunei Darussalam,,0.046681527,0.044641362,0.042712226,0.040844251,0.039014874,0.055839926,0.053248136,0.05077173,0.048435923,0.04625026,0.029473312,0.028201585,0.027014797,0.025907575,0.024875777,0.023911575,0.023011517,0.022178235,0.021414881,0.015539452,0.015065081,0.014629793,0.014222526,0.013831705,0.013449959,0.013076568,0.012712942,0.012358393,0.012012589,0.007783949,0.007565298,0.007353239,0.007150084,0.006958385,0.006779431,0.006612685,0.006456903,0.006311677,0.006176423,0.006050449,0.005933415,0.0058244,0.005721528,0.005622716,0.005526556,0.005432568,0.008011558,0.007878441,0.007750336,0.007627726,0.007510458,0.009864073,,,
Bhutan,,0.436115606,0.426070395,0.416035679,0.405969374,0.395837374,0.385698307,0.375526206,0.36513941,0.354346054,0.377414164,0.364657404,0.351761365,0.339019617,0.341573674,0.329375104,0.331618131,0.320169903,0.309492922,0.312204966,0.315104918,0.306685508,0.310784212,0.325997271,0.317888344,0.309161852,0.29949334,0.291445089,0.272691406,0.251282865,0.252098486,0.252488414,0.255640664,0.262119661,0.273767946,0.286894991,0.294704876,0.293712818,0.286782154,0.279000049,0.187880969,0.191120968,0.185488143,0.180056255,0.249119017,0.256464203,0.226863792,0.200008511,0.123742788,0.13138748,0.132871269,0.130284085,0.134460832,,,
